"hyperparameter","posterior_mean","posterior_sd","effective_size","geweke_z","density_modes","stationarity_flag","mixing_flag"
"lambda",0.356346654650767,0.0173255789263783,24.2258603230867,0.419022590072848,4,"OK","Low ESS"
"alpha",2.03924268278474,0.0280295338409739,2.68647950461513,-1.25485875812058,2,"OK","Low ESS"
"psi1",5.68102282564113,0.556099745100998,2.18520587382251,-1.8575355942817,2,"OK","Low ESS"
"psi2",4.95857000023804,0.193258970994825,3.66898272947337,-2.00053100690208,3,"Investigate","Low ESS"
"psi3",4.76928598547044,0.2321147198526,2.3875694154342,-2.60643288057231,2,"Investigate","Low ESS"
"psi4",8.67496922434975,0.00946717823695598,1.77737363015696,-6.13106070621228,2,"Investigate","Low ESS"
"psi5",11.3642456517868,0.000636749676237152,1.70068580397716,10.811035426958,2,"Investigate","Low ESS"
"psi6",6.08722513661107,0.036485177378007,6.79634431802892,4.74083527423327,2,"Investigate","Low ESS"
