"hyperparameter","posterior_mean","posterior_sd","effective_size","geweke_z","density_modes","stationarity_flag","mixing_flag"
"lambda",0.329659958399488,0.0309244482368822,93.4153637168645,2.37554614572636,2,"Investigate","Low ESS"
"alpha",1.9959779379933,0.140579448328174,14.5661259560353,3.08842967262609,4,"Investigate","Low ESS"
"psi1",4.3397648611295,1.14226407348722,23.8011352786275,-3.17539129159831,3,"Investigate","Low ESS"
"psi2",4.52220946096109,1.20469765547309,7.65870397967044,0.0786915082481001,3,"OK","Low ESS"
"psi3",4.8830174881832,0.832057156092463,10.592319385565,-1.06418666054185,3,"OK","Low ESS"
"psi4",8.44506259928582,0.0633783285539266,3.71782390579502,8.69917611697918,4,"Investigate","Low ESS"
"psi5",11.3708864829281,0.00185794138603971,5.5254484082582,-1.81450441401702,3,"OK","Low ESS"
"psi6",6.2384046082466,0.464062807270066,3.89683401806157,-0.225741124577767,5,"OK","Low ESS"
