"hyperparameter","posterior_mean","posterior_sd","effective_size","geweke_z","density_modes","stationarity_flag","mixing_flag"
"lambda",0.329827976117192,0.031601288735526,74.5182734224341,2.93040551933763,3,"Investigate","Low ESS"
"alpha",1.97431125911758,0.123386624551126,14.6915860818904,0.0528317293945328,1,"OK","Low ESS"
"psi1",4.58826097661519,1.28422477809189,16.9208868512065,1.32024816719476,3,"OK","Low ESS"
"psi2",4.41574563559923,0.868471091267683,11.6446022773506,5.14297202829086,3,"Investigate","Low ESS"
"psi3",4.71849689282443,0.92190190830902,6.95070367510387,1.27855516916269,4,"OK","Low ESS"
"psi4",9.1801334823684,0.098413471891897,1.7593021677144,-10.5990229502221,5,"Investigate","Low ESS"
"psi5",11.3594674050444,0.00235258796042056,4.83651532321147,-1.32547701551989,5,"OK","Low ESS"
"psi6",5.90270677702912,0.312343069418589,3.54697685378087,0.140698397345973,5,"OK","Low ESS"
